specie,alpha,hidden layers,test max error,test min error,test avg error,test R2 error,train max error,train min error,train avg error,train R2 error,false positives,false negatives
Iris-setosa,0.1,[],0.06726236380973871,0.000873231689728214,0.012271846043684372,0.9984211539319481,0.09052998874746532,0.0006590998207019118,0.01359008259012177,0.9980833713814768,0,0
Iris-setosa,0.1,"[(4, 4)]",0.051857802991400304,0.0049319661718809004,0.015444368600065506,0.9982287627041232,0.06498174921867395,0.00460400635403753,0.01628232914779063,0.9980546552276643,0,0
Iris-setosa,0.1,"[(4, 10), (10, 4)]",0.6666966496171953,0.33317431870450964,0.44437117566735657,-48467550.037193045,0.6667199681049021,0.3331638859027891,0.4443797380473751,-61476704.52142143,0,10
Iris-setosa,0.01,[],0.20062100942462058,0.027812294611809413,0.09858088541642027,0.8988269499519833,0.30509224546505886,0.024411349824181628,0.1023757666162651,0.890274784738182,0,9
Iris-setosa,0.01,"[(4, 4)]",0.6678550698728319,0.3199061296768857,0.43758345433677853,-5518.677655557975,0.6694213633034546,0.31908354946222445,0.43826360509982487,-7004.158401646599,0,10
Iris-setosa,0.01,"[(4, 10), (10, 4)]",0.666751083218772,0.3331239792025609,0.4443471063096448,-37123484.45997413,0.6667799115236583,0.3331153446633086,0.44435708190433476,-47284118.57079357,0,10
Iris-setosa,0.001,[],0.6749321296030792,0.3038581900732339,0.43043682756060336,-2292.9447066184744,0.6760947298912297,0.3030060349813024,0.4312352874940481,-2773.9057956639335,0,10
Iris-setosa,0.001,"[(4, 4)]",0.6702081884453664,0.3291207758841855,0.44284875264370815,-1576480.0831909901,0.6702709830598527,0.32909933103923655,0.4428825179698875,-1902603.4499539533,0,10
Iris-setosa,0.001,"[(4, 10), (10, 4)]",0.6668709144438338,0.3331511251719558,0.4444047442613608,-588984683.5273085,0.6668840115946577,0.3331458060658208,0.4444022203541887,-742687689.1530128,0,10
Iris-virginica,0.1,[],0.4607325986296049,0.00019329244130552385,0.03537053790863814,0.9556274975211819,0.6430227544230885,0.00017287641217761924,0.05360187922258638,0.8964653762182648,0,1
Iris-virginica,0.1,"[(4, 4)]",0.6695627470828012,0.0022712698273083015,0.10057685012613135,0.7992567181833137,0.6519481728256377,0.0021187058326034335,0.09519520752298169,0.8141829609164071,0,3
Iris-virginica,0.1,"[(4, 10), (10, 4)]",0.6665636906000603,0.3334281200547668,0.4444758706073788,-9002956223.292664,0.666562832626024,0.3334254254286994,0.44447591979786216,-11356622895.780548,0,10
Iris-virginica,0.01,[],0.6112025657515054,0.05177288796196762,0.2751776816742828,-0.8198725773307483,0.526699161604944,0.04422568679290273,0.2720158426245716,-0.9279372988322401,0,10
Iris-virginica,0.01,"[(4, 4)]",0.6627442866382507,0.3359677914944598,0.4452417905049003,-457219.5678440546,0.6626659790075656,0.3358386222236526,0.44524665659210033,-538994.7877299847,0,10
Iris-virginica,0.01,"[(4, 10), (10, 4)]",0.6666055470654252,0.333460788558244,0.444566280286218,-27371003.800773084,0.6666142274412419,0.3334593915127654,0.4445652153904231,-34333983.58485409,0,10
Iris-virginica,0.001,[],0.6620211899772084,0.3412438042220232,0.45204271401958107,-5115.716753079337,0.6652591125155678,0.3341113083716514,0.45218159778536554,-4991.3723952119235,0,10
Iris-virginica,0.001,"[(4, 4)]",0.661739168628815,0.33729970376419083,0.44579193146137785,-2157776.2376032714,0.6618539094663121,0.3370837805285369,0.44578662654733797,-1759611.7058902185,0,10
Iris-virginica,0.001,"[(4, 10), (10, 4)]",0.6665561606008669,0.3334782593020258,0.4445331793554987,-107234652.52665065,0.6665625479397372,0.33347955849688865,0.44453291556857033,-137016975.86656797,0,10
Iris-versicolor,0.1,[],0.6087652042284949,0.005711189135956799,0.09215311371862732,0.8328562609875139,0.6689074673191995,0.00662026880095193,0.09080527216380115,0.8231879250012395,0,5
Iris-versicolor,0.1,"[(4, 4)]",0.669040176025416,0.3283009656531854,0.44347121386766264,-46208.913721617544,0.6696767729189984,0.32613371575149996,0.4428548445815741,-31858.284884302353,0,10
Iris-versicolor,0.1,"[(4, 10), (10, 4)]",0.6666672421682779,0.3333234341021273,0.4444531319251289,-699866444.4296036,0.6666673439199545,0.33332222635567954,0.44445100698529066,-884090582.333926,0,10
Iris-versicolor,0.01,[],0.6710720360674434,0.30774736621640775,0.44132304262266037,-1098.6011593626167,0.6678030279040594,0.29615709336399215,0.4382529954983511,-903.2561950030614,0,10
Iris-versicolor,0.01,"[(4, 4)]",0.6660125840613369,0.33297705740934164,0.44455082684896924,-258481.0573795574,0.6659948259490138,0.3328288526026615,0.44460727345881385,-296175.4781945541,0,10
Iris-versicolor,0.01,"[(4, 10), (10, 4)]",0.6666573624852744,0.333336017703561,0.4444545527970453,-1196059084.986736,0.6666571796819694,0.3333350317779394,0.44445271676018583,-1541734283.675079,0,10
Iris-versicolor,0.001,[],0.6705963906517934,0.3238321849934161,0.4460873857760995,-4370.014461505647,0.6701282593215381,0.3213005959295289,0.4451619930883153,-5572.324354998047,0,10
Iris-versicolor,0.001,"[(4, 4)]",0.6663064295780013,0.3335829830657285,0.4446949017887315,-4274517.941102495,0.6663122221489575,0.33355167627436705,0.44468300122274396,-5047970.029603033,0,10
Iris-versicolor,0.001,"[(4, 10), (10, 4)]",0.6667455803848528,0.33314586129127105,0.44449313401907736,-8539940.782384474,0.6667515920294,0.33314050926506583,0.4444734531796836,-10534872.896599896,0,10
