alpha,hidden layers,max error,min error,avg error,false positives,false negatives
2.0,[],2.261297702506496e-09,0.015479818641288326,3.659012866067995e-14,0,10
2.0,[4],2.1484144356817763e-08,0.00012511944225029973,8.408930152118944e-07,0,0
2.0,[5],2.931959356506914e-07,4.2639498265943665e-06,4.849850845414227e-11,0,0
2.0,[10],1.8019357064676075e-07,3.909514176252067e-05,6.61185480566287e-12,0,0
2.0,[20],1.5384575489432571e-10,5.121488334967005e-07,2.919070323467147e-13,0,0
2.0,"[5, 6]",4.376417855178468e-05,0.0003863732590382307,2.851660842819686e-09,0,0
2.0,"[1, 5]",8.670889075772052e-06,0.00018451684212561492,2.3339873074475734e-08,0,9
2.0,"[10, 8]",1.2890762939245764e-06,5.491588838662395e-05,1.93318031125885e-06,0,0
0.5,[],1.5880750450016316e-07,0.01669489548240778,1.6417183938331234e-09,0,10
0.5,[4],6.754465469809262e-07,6.254752769798365e-05,1.3249040622777488e-06,0,0
0.5,[5],7.131107197017108e-06,0.0001804505052167189,1.1848507304686772e-06,0,0
0.5,[10],1.640505954992856e-08,1.2581595852696919e-05,9.069804947918748e-09,0,0
0.5,[20],4.6026671580884836e-09,5.6881888115508215e-06,2.448820496282409e-11,0,0
0.5,"[5, 6]",5.653409149835717e-07,0.00041700885064821524,1.7419590504522727e-06,0,0
0.5,"[1, 5]",1.2352572685078927e-10,0.003140224787117063,6.844089656056237e-09,0,0
0.5,"[10, 8]",4.0069209993572375e-05,0.00011662845454534526,9.960658753835134e-09,0,0
0.1,[],1.628657651830404e-05,0.02216870593827322,1.8673421345862787e-05,0,10
0.1,[4],1.0380456231081613e-05,0.0024837610887471274,1.7483364554337457e-05,0,1
0.1,[5],1.945638428372442e-05,0.002638347171443621,4.743542622662066e-05,0,0
0.1,[10],2.8831434554497056e-06,0.0010187568372386695,4.6747027627032796e-08,0,0
0.1,[20],5.005158558860135e-07,0.0004122592652621868,1.335985147668133e-08,0,2
0.1,"[5, 6]",0.0003976830409583587,0.059424338859802056,1.1417160595027518e-05,0,10
0.1,"[1, 5]",0.00021402447451972145,0.2064319245049319,0.00014017130815077106,0,10
0.1,"[10, 8]",0.0003867130384765591,0.058397872861817496,2.171306712284174e-05,0,10
0.01,[],0.003917889731744934,0.11439427144306355,0.01834858012656788,0,10
0.01,[4],0.012525621372272986,0.14475460079040245,0.019906031743155746,0,10
0.01,[5],0.013926554332085688,0.1317353128794622,0.022301435353478134,0,10
0.01,[10],0.006184709584647144,0.14702023526482724,0.009765799880679741,0,10
0.01,[20],0.0023613416537263537,0.12684489055169876,0.004478062659154466,0,10
0.01,"[5, 6]",0.3195554098645607,0.32975947143402695,0.33582425142406397,0,10
0.01,"[1, 5]",0.3291739220387015,0.3321849974621504,0.33463865661020914,0,10
0.01,"[10, 8]",0.33047578240905257,0.333518538439011,0.33285829423286034,0,10
0.001,[],0.1294961561043761,0.2712766602581225,0.22884536413349668,0,10
0.001,[4],0.2912887472724022,0.3305503474702424,0.33868060126341326,0,10
0.001,[5],0.26138346777465105,0.32753592369199175,0.32877086350334234,0,10
0.001,[10],0.26199273807466855,0.32326535254664585,0.3383594461260306,0,10
0.001,[20],0.2735902294811888,0.3252710303918053,0.32500479425163764,0,10
0.001,"[5, 6]",0.3274763087876615,0.3327124962388252,0.3366128834200427,0,10
0.001,"[1, 5]",0.33201634089095977,0.33398229018782644,0.3354799929016164,0,10
0.001,"[10, 8]",0.32980351774249955,0.3334379789284129,0.3342048655834017,0,10
0.0001,[],0.24441998568745293,0.2944204343705231,0.11136886616860453,0,10
0.0001,[4],0.23221259359834878,0.25248993510229567,0.20337344553906256,0,10
0.0001,[5],0.3270498969425917,0.342171075486121,0.3695302743336043,0,10
0.0001,[10],0.3498166779257821,0.32105072776380816,0.3934134061901565,0,10
0.0001,[20],0.4322569248217638,0.3125020810522918,0.3403249791330285,0,10
0.0001,"[5, 6]",0.4982534494966411,0.45709811044244164,0.48233540449592416,0,10
0.0001,"[1, 5]",0.33567290862734045,0.2756723110991317,0.40209138098243613,0,10
0.0001,"[10, 8]",0.44239209255062917,0.45431240273499984,0.4271133515745523,0,10
