specie,alpha,hidden layers,test max error,test min error,test avg error,test R2 error,train max error,train min error,train avg error,train R2 error,false positives,false negatives
Iris-setosa,0.1,[],0.06406202889126399,0.0020223744764574485,0.013071015844689232,0.9984488309793456,0.09563160183075758,0.0016632588823094787,0.014375976563897202,0.9980775481173608,0,0
Iris-setosa,0.1,"[(4, 4)]",0.06049476686951039,0.0032207190562427456,0.014525403895657108,0.9981756053301437,0.06534255091962074,0.0030733952198971925,0.015366638864727817,0.9980604864324049,0,0
Iris-setosa,0.1,"[(4, 10), (10, 4)]",0.6656740368241665,0.3298237867842529,0.4422386810972006,-41339.947882515495,0.6661412222508691,0.3297765049610212,0.44245567289448645,-49698.01865895398,0,10
Iris-setosa,0.01,[],0.23035183739525295,0.039454267810608026,0.11470135992204437,0.8521789165876401,0.28242958643372895,0.03595789002405258,0.11951789513828058,0.8377262875868554,0,10
Iris-setosa,0.01,"[(4, 4)]",0.6681197024607164,0.31428621240697807,0.4342310594859614,-2712.101439383721,0.6698383114245259,0.3136527989277291,0.4350755112545566,-3334.676740166297,0,10
Iris-setosa,0.01,"[(4, 10), (10, 4)]",0.6669051554023242,0.33288801671200513,0.44426100172127453,-18128069.16439541,0.6669440503843932,0.33287767917298094,0.44427479260107094,-22588232.41106868,0,10
Iris-setosa,0.001,[],0.6800754329436848,0.274162648379564,0.4149791093272232,-305.678991916328,0.6884147122885779,0.2714431271223714,0.41799809949253125,-396.43602330595047,0,10
Iris-setosa,0.001,"[(4, 4)]",0.6696403682417493,0.32874333157207897,0.4426400751297282,-331381.44996627106,0.6698812791136188,0.3286061813510455,0.4427381400254725,-407221.89957019174,0,10
Iris-setosa,0.001,"[(4, 10), (10, 4)]",0.6667461336883198,0.332888097724888,0.4442138589844619,-5525030.86344254,0.6668012918730292,0.33287130516532615,0.4442357227838731,-6922590.780744301,0,10
Iris-virginica,0.1,[],0.4661713930811645,2.953592744905123e-05,0.03477398861769879,0.9550130394373175,0.649562307782713,2.6885264848850395e-05,0.05322897614731613,0.8947897881804426,0,1
Iris-virginica,0.1,"[(4, 4)]",0.547650033319744,0.0016954630646306668,0.053935071612123915,0.9227682156695508,0.6327936407413088,0.0016665477997560465,0.06504687569672092,0.878971722569266,0,1
Iris-virginica,0.1,"[(4, 10), (10, 4)]",0.6665814279621207,0.3334343149747937,0.4445012936745767,-309764950.912838,0.6665832928181029,0.33343430625473097,0.44450070501051875,-391959393.3552759,0,10
Iris-virginica,0.01,[],0.6184479029165693,0.17409480951635964,0.35990903681694697,-7.264862414215637,0.5842217125829524,0.1642145242300811,0.35796606683382753,-8.154358884661733,0,10
Iris-virginica,0.01,"[(4, 4)]",0.6639326475328756,0.3362574403220994,0.44585250874670773,-903098.0292651681,0.6639732060853311,0.3362828919920214,0.4458400802847244,-1197493.8718379422,0,10
Iris-virginica,0.01,"[(4, 10), (10, 4)]",0.6665521370189913,0.33333039788676294,0.4444370417364583,-57130147.95342647,0.6665514693067018,0.33330856439368484,0.4444376780344958,-68096102.34568785,0,10
Iris-virginica,0.001,[],0.6530661321714952,0.34637378819294895,0.44879880575951675,-464870.37724909454,0.6533599556681258,0.34538760442039307,0.44887959062785093,-502270.0274619909,0,10
Iris-virginica,0.001,"[(4, 4)]",0.6640512959655045,0.3362497591956889,0.44601596095182106,-446139.3574961759,0.6640559928006551,0.33622443180303546,0.4459979300664724,-548762.7436133065,0,10
Iris-virginica,0.001,"[(4, 10), (10, 4)]",0.6665624623071069,0.3334428798588246,0.4444888004155535,-2774784407.7612205,0.6665630997873685,0.3334426214525283,0.4444886914228162,-3382339156.764135,0,10
Iris-versicolor,0.1,[],0.616342954992049,0.007222940689695717,0.08608324475438436,0.8481632937981488,0.6697339897636012,0.006076875373288158,0.08697071419452487,0.8323022522240878,0,4
Iris-versicolor,0.1,"[(4, 4)]",0.6577914883981917,0.2822317064573856,0.43416280334113994,-173.77701929593985,0.6607111846992584,0.27391051840356867,0.43354673064160154,-174.77589453446672,0,10
Iris-versicolor,0.1,"[(4, 10), (10, 4)]",0.6667159907013893,0.33322400714322004,0.44443661664372996,-46327690.23541257,0.6667276146377151,0.33320099819840177,0.44444622180002136,-60513598.82011369,0,10
Iris-versicolor,0.01,[],0.6758056972552174,0.31990659895500845,0.4433113846470426,-3699.0931337052302,0.6730816773955406,0.31443225974794425,0.4409580348955832,-3780.8809457478865,0,10
Iris-versicolor,0.01,"[(4, 4)]",0.668637260384653,0.32997110510778466,0.44456173335595045,-62196.45188235543,0.6682715776079291,0.32950854703762844,0.44417691584959734,-80549.51867803266,0,10
Iris-versicolor,0.01,"[(4, 10), (10, 4)]",0.6667130530436728,0.3332517361593386,0.44445474427858145,-69684319.54404192,0.6667093900027086,0.33324423017692023,0.44444560126157306,-88813044.66151528,0,10
Iris-versicolor,0.001,[],0.6752097413671458,0.3161841698440217,0.4480548409506524,-1234.0103779663443,0.6754093951238036,0.31544417801039665,0.446404924221085,-1544.3543084282735,0,10
Iris-versicolor,0.001,"[(4, 4)]",0.6674726764641281,0.3312684092031953,0.4451475983589914,-53060.96166405888,0.6675257483215737,0.33112704616117705,0.4449327206076549,-65801.9233539775,0,10
Iris-versicolor,0.001,"[(4, 10), (10, 4)]",0.6666750396091785,0.33331065725295267,0.4444495187503217,-627770290.2751133,0.6666746699249492,0.333308090579971,0.44444636949878424,-780557284.3644437,0,10
