alpha,hidden layers,test max error,test min error,test avg error,test R2 error,train max error,train min error,train avg error,train R2 error,false positives,false negatives
2.0,[],0.9941113851186134,2.4238421983957537e-05,0.2835920046972882,-0.3363976315666162,0.9977984941395205,2.3416218866598468e-08,0.18174517492676928,0.29438648671227907,5,376
2.0,[20],0.9999438955528223,8.899862145028692e-07,0.18921397187182848,0.23718787421095955,0.9994925391943943,2.783743079820017e-12,0.12355393580420508,0.47321592222902653,9,169
2.0,[40],0.9998734079963483,2.6898457861079805e-07,0.2503601534720052,-0.002228456192038708,0.9992963548510582,2.484246474124688e-15,0.1409155352037295,0.6027774307237157,5,334
2.0,[60],0.9999549222256603,2.0679403400780672e-07,0.19167730489236917,0.22103690622558902,0.999785410714102,2.9335278135232875e-17,0.12679834346926416,0.443573203896647,9,176
2.0,"[20, 20]",0.976904136722011,0.014869302632634699,0.2661058249274553,-0.4981990560789764,0.9978322292913221,9.356363444943346e-05,0.1858949605184539,-0.2719484703153019,21,217
2.0,"[40, 40]",0.9999999816506556,1.8349265551442784e-08,0.30166504155878393,-1.330999137036605e+24,0.9999999999999929,7.109679107506384e-15,0.30726256983240213,-3.232888353132621e+36,308,0
2.0,"[60, 60]",1.0,9.509852042977378e-23,0.6983349657198825,-2.566912694525518e+57,1.0,2.6195025088119243e-55,0.30726256983240224,-1.4672776692457996e+121,0,713
0.5,[],0.9743029765859047,0.0034859979908234973,0.3555148692610563,-1.4159867641328239,0.9810686229390051,4.993729953596676e-05,0.23775856448037794,-0.3387838226668032,3,514
0.5,[20],0.993811325431184,2.588920404122952e-05,0.2537549501106554,-0.068008161526669,0.9983273315832017,2.1143260621237745e-06,0.1581845469451565,0.45164670915839433,7,325
0.5,[40],0.9921084252062947,1.5421917373914518e-05,0.25212338108232807,-0.05723674193691575,0.9980833772790031,5.634871491309712e-07,0.15543800286184078,0.4680454634253812,7,318
0.5,[60],0.9983544589929141,2.535752817833803e-06,0.2505934877641711,-0.04354083741495085,0.9982521097079826,4.019125239141033e-07,0.15554221337964266,0.4678117517553614,7,320
0.5,"[20, 20]",0.5333913221194833,0.4666030704466283,0.5012733836720796,-2991.2557747079663,0.774913963803447,0.22505837851548618,0.3971402794716021,-4697.944143290517,0,713
